"","X","taxon","sample.id","count","depth","thickness","age.older","age","age.younger","chronology.name","age.type","chronology.id","dataset.id","unit.name","site.id","site.name","long","lat","elev","description","long.acc","lat.acc","dataset.name","collection.type","collection.handle","dataset.type","ContactID","ContactName","submission.date","submission.type","genus","species","family","phylum","ne_10m_adm","ScaleRank","LabelRank","FeatureCla","OID_","SOVEREIGNT","SOV_A3","ADM0_DIF","LEVEL","TYPE","ADMIN","ADM0_A3","GEOU_DIF","GEOUNIT","GU_A3","SU_DIF","SUBUNIT","SU_A3","NAME","ABBREV","POSTAL","NAME_FORMA","TERR_","NAME_SORT","MAP_COLOR","POP_EST","GDP_MD_EST","FIPS_10_","ISO_A2","ISO_A3","ISO_N3","ISO3","LON","LAT","ISO3.1","ADMIN.1","REGION","continent","GEO3major","GEO3","IMAGE24","GLOCAF","Stern","SRESmajor","SRES","GBD","AVOIDnumeric","AVOIDname","LDC","SID","LLDC"
"28749",28749,"Alnus",315125,4,50,NA,NA,1772,NA,"C14&POL BP","Radiocarbon years BP",24575,40454,NA,23444,"Montilier",7.123611,46.935,438,"Lake Morat. Physiography: Sub-Jurassian lake in Swiss Plateau. Surrounding vegetation: Cultivated fields.",0,0,"EPD E# 1972","Core","MONTILI1","pollen",9949,"Magny, Michel","2018-10-10","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CHE",1,2,"Adm-0 country",240,"Switzerland","CHE",0,2,"Sovereign country","Switzerland","CHE",0,"Switzerland","CHE",0,"Switzerland","CHE","Switzerland","Switz.","CH","Swiss Confederation",NA,"Switzerland",3,7604467,316700,0,"CH","CHE",756,"CHE",8.21538259993145,46.7990229334944,"CHE","Switzerland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"28769",28769,"Alnus",157800,1,218,NA,5017,4566,4014,"EPD1","Calibrated radiocarbon years BP",8620,16214,NA,10528,"Laguna Mesagosa",-2.81179,41.965045,1600,"Stunted pines grow on hummocks with Vaccinium myrtillus, Calluna vulgaris, Molinia caerulea, Juncus spp., Carex echinata, Potentilla erecta and Sphagnum spp. The lawns are characterised by Sphagnum spp., Carex spp., Erica tetralix, Drosera spp. and Agrostis stolonifera. In shallow pools Carex spp, Menyanthes trifoliata and Potamogeton spp. are found.",0.000900000000000123,0.000769999999995719,"Laguna Mesagosa","Core","LAGMESAG","pollen",6600,"von Engelbrechten, Sebastian","2015-07-01","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","ESP",1,2,"Adm-0 country",233,"Spain","ESP",0,2,"Sovereign country","Spain","ESP",0,"Spain","ESP",0,"Spain","ESP","Spain","Sp.","E","Kingdom of Spain",NA,"Spain",5,40525002,1403000,0,"ES","ESP",724,"ESP",-3.56594395334086,40.4000205188724,"ESP","Spain","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"28776",28776,"Alnus",405867,2,220,NA,NA,NA,NA,"No chronology",NA,NA,46248,NA,26549,"Albany River (009)",-82.53289,51.95659,30,"Riverbank exposure in the Hudson Bay Lowlands, a vast low-lying peatland in central Canada bordered by James and Hudson bays. Surrounding vegetation is dominated by boreal taxa (Alnus, Betula, Larix, Picea, Salix) and peatland taxa (Cyperaceae, Ericaceae, Sphagnum).",0.00578000000000145,0.00623999999999825,NA,"Section","ALBN009","pollen",6696,"Finkelstein, Sarah A.","2019-09-12","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CAN",1,2,"Adm-0 country",106,"Canada","CAN",0,2,"Sovereign country","Canada","CAN",0,"Canada","CAN",0,"Canada","CAN","Canada","Can.","CA",NA,NA,"Canada",2,33487208,1300000,0,"CA","CAN",124,"CAN",-102.355901829177,57.9392328262499,"CAN","Canada","North America","North America","North America","Canada","Canada","Canada","North America","OECD90","North America (NAM)","North America, High Income",9,"Canada","other","other","other"
"28810",28810,"Alnus",224600,48,0,NA,NA,0,NA,"C14 BP","Radiocarbon years BP",13158,22810,NA,14551,"Lac du Verney-Dessus",6.8725,45.693333,2276,"Peat bog. Physiography: Little lakes surrounded by peat bogs. Surrounding vegetation: Grass. Vegetation formation: Montain.",0,0,NA,"Core","DESVERNE","pollen",8761,"Miras, Yannick","2017-11-06","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","ITA",1,2,"Adm-0 country",153,"Italy","ITA",0,2,"Sovereign country","Italy","ITA",0,"Italy","ITA",0,"Italy","ITA","Italy","Italy","I","Italian Republic",NA,"Italy",7,58126212,1823000,0,"IT","ITA",380,"ITA",12.1550687877391,43.5230213814372,"ITA","Italy","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",15,"Italy","other","other","other"
"28823",28823,"Alnus",427452,114,20,25,987,501,16,"Giesecke et al. 2014 (MADCAP)","Calendar years BP",32304,4248,NA,3271,"Maloe",28.2,54.183333,164,"Lake. Physiography: Flyvioglacial plain. Surrounding vegetation: Cult.lands.Alnus, Pinus, Betula.",0,0,"EPD E# 428","Core","MALOE","pollen",1007,"Bogdel, Ivan I.","2020-01-20","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","BLR",1,2,"Adm-0 country",91,"Belarus","BLR",0,2,"Sovereign country","Belarus","BLR",0,"Belarus","BLR",0,"Belarus","BLR","Belarus","Bela.","BY","Republic of Belarus",NA,"Belarus",11,9648533,114100,0,"BY","BLR",112,"BLR",28.0335664597635,53.5318804820809,"BLR","Belarus","Europe","Eurasia","Europe","Eastern Europe","Ukraine+","FSU","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern",25,"Europe","other","other","other"
"28914",28914,"Alnus",231154,496,10,NA,NA,20,NA,"C14 BP","Radiocarbon years BP",13297,22953,NA,14634,"Ispani 2",41.80203,41.86226,1,"Mire complex. Physiography: Lowland close to Black sea. Surrounding vegetation: Bog vegetation.",0.0217999999999989,0.0170400000000015,NA,"Core","ISPANI2","pollen",8809,"de Klerk, Pim","2017-11-15","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","GEO",1,2,"Adm-0 country",134,"Georgia","GEO",0,2,"Sovereign country","Georgia","GEO",0,"Georgia","GEO",0,"Georgia","GEO","Georgia","Geo.","GE",NA,NA,"Georgia",2,4615807,21510,0,"GE","GEO",268,"GEO",43.5076510191411,42.1688164401335,"GEO","Georgia","Europe","Eurasia","Europe","Eastern Europe","Russia+","FSU","Europe","REF","Newly Independent States of FSU (FSU)","Asia, Central",25,"Europe","other","other","other"
"28927",28927,"Alnus",17196,17,4.5,1,NA,-19,NA,"NAPD 1","Calendar years BP",392,831,NA,807,"First",-75.027055,41.135825,326,NA,0.00695000000000334,0.00868999999999431,NA,"Core","FIRST","pollen",155,"Russell Southgate, Emily W. B.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"28993",28993,"Alnus",354081,1,230,NA,NA,11571,NA,"EPD","Radiocarbon years BP",25758,3995,NA,3065,"Coolteen",-6.6,52.35,50,"Marsh on infilled lake basin. Surrounding vegetation: pasture surrounds the marsh.",0,0,"EPD E# 180","Core","COOL69B","pollen",25,"Craig, Alan J.","2019-04-07","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","IRL",1,2,"Adm-0 country",151,"Ireland","IRL",0,2,"Sovereign country","Ireland","IRL",0,"Ireland","IRL",0,"Ireland","IRL","Ireland","Ire.","IRL",NA,NA,"Ireland",2,4203200,188400,0,"IE","IRL",372,"IRL",-8.13763988410812,53.1763487137152,"IRL","Ireland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"29047",29047,"Alnus",148079,1,864,NA,9056,6972,5380,"Wang et al. 2019","Calibrated radiocarbon years BP",33635,15750,NA,10357,"Lake Shelby",-87.66485,30.260065,0,"Lake Shelby is one of three freshwater lakes within Gulf State Park on the Alabama coast.",0.0249000000000024,0.017669999999999,NA,"Core","SHELBYAL","pollen",6818,"Fearn, Miriam L.","2015-04-23","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"29128",29128,"Alnus",359750,19,3,NA,NA,NA,NA,"No chronology",NA,NA,41912,NA,24113,"Prazo",-7.243333,41.072222,660,"Archaeological site. Physiography: Top of hilly area. Surrounding vegetation: Culticated fields.",0,0,"EPD E# 1555","Section","PRAZO","pollen",8764,"López-Sáez, José Antonio","2019-04-23","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","PRT",1,2,"Adm-0 country",209,"Portugal","PRT",0,2,"Sovereign country","Portugal","PRT",0,"Portugal","PRT",0,"Portugal","PR1","Portugal","Port.","P","Portuguese Republic",NA,"Portugal",4,10707924,236500,0,"PT","PRT",620,"PRT",-7.97771803988666,39.6787117447063,"PRT","Portugal","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"29155",29155,"Alnus",37557,1,35,NA,1294,970,739,"Wang et al. 2019","Calibrated radiocarbon years BP",33245,1819,NA,1761,"Water Conservation Area 3B, Nuthouse Head",-80.5125,25.889167,5,NA,0,0,NA,"Core","NUTHSH","pollen",710,"Willard, Debra A.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"29183",29183,"Alnus",356111,199,10,NA,NA,NA,NA,"No chronology",NA,NA,41662,NA,23966,"Siemen",11.2336,53.04599,15,"Swamp. Physiography: Plain. Surrounding vegetation: Cultivated fields and forest.",0.00495999999999874,0.00344000000000477,"EPD E# 1813","Section","SIEMEN1","pollen",9734,"Lesemann, Brunhilt","2019-04-08","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
"29189",29189,"Alnus",402783,10,430,NA,NA,6550,NA,"Fossilva","Radiocarbon years BP",30072,3970,NA,3043,"Cam Loch",-5.03553,58.073755,123,"A large lake with rocky shore, no marginal hydrosere. Vigorous inflow streams",0.0620599999999998,0.022829999999999,"EPD E# 156","Core","CAM-PG","pollen",1196,"Pennington, Winifred","2019-08-29","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","GBR",1,7,"Adm-0 country",28,"United Kingdom","GB1",0,2,"Country","United Kingdom","GBR",0,"United Kingdom","GBR",0,"United Kingdom","GBR","United Kingdom","U.K.","GB","United Kingdom of Great Britain and Northern Ireland",NA,"United Kingdom",3,61113205,2226000,0,"GB","GBR",826,"GBR",-2.51805776256644,53.9473410569663,"GBR","United Kingdom","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"29308",29308,"Alnus",312701,3,4.25,0.5,-14.95,-18.6,-22.25,"Big Moose L C2","Calendar years BP",18882,39749,NA,17914,"Big Moose Lake",-74.848885,43.82946,556,NA,0.0625100000000032,0.0252599999999958,NA,"Core","BMOOSE_C2","pollen",109,"Whitehead, Donald R.","2018-09-07","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"29309",29309,"Alnus",15872,1,20,1,NA,459,NA,"NAPD 1","Radiocarbon years BP",357,796,NA,776,"Emerald Lake",-110.3,44.066667,2634,"Glacial scour lake. Physiography: Pinyon Peak Highlands. Surrounding vegetation: Picea-Abies-Pinus albicaulis forest.",0,0,NA,"Core","EMERALD","pollen",161,"Whitlock, Cathy","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"29396",29396,"Alnus",227482,5,240,NA,NA,NA,NA,"No chronology",NA,NA,22853,NA,14576,"Horst",13.186111,54.133056,8,"Kettle hole. Physiography: Basin in till plain. Surrounding vegetation: Forest.",0,0,"Horst Pollen","Core","HORST22","pollen",8809,"de Klerk, Pim","2017-11-09","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
"29416",29416,"Alnus",262949,30,160,NA,NA,NA,NA,"No chronology",NA,NA,25448,NA,16366,"Ardevon",-1.46666666666667,48.6,8,"Cultivated field. Physiography: bay of St-Michel. Surrounding vegetation: cultivated fields.",0,0,"ARDEVO39","Core","ARDEVO39","pollen",1029,"Clet-Pellerin, Martine","2018-03-15","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"29424",29424,"Alnus",NA,53,105,NA,NA,NA,NA,"No chronology",NA,NA,24627,NA,15971,"Le Pré Caslot",0.217222222222222,47.2616666666667,29,"Riverine. Physiography: river Le Lane. Surrounding vegetation: cultivaed fields.",0,0,"CASPS472","Core","CASPS472","pollen",1298,"Visset, Lionel","2018-01-29","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"29440",29440,"Alnus",342295,56,55,NA,NA,7354,NA,"GPD 1","Radiocarbon years BP",25533,1435,NA,1399,"Kameničky",15.970885,49.72651,624,"Drained sloping spring mire. Physiography: Kameničská kotlina Basin at its N margin. Surrounding vegetation: Alder carr.",0.00283000000000122,0.00178000000000367,"EPD E# 25","Section","KAMEN","pollen",9481,"Rybníčková, Eliška","2019-03-12","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CZE",1,5,"Adm-0 country",117,"Czech Republic","CZE",0,2,"Sovereign country","Czech Republic","CZE",0,"Czech Republic","CZE",0,"Czech Republic","CZE","Czech Rep.","Cz. Rep.","CZ","Czech Republic",NA,"Czech Republic",6,10211904,265200,0,"CZ","CZE",203,"CZE",15.3141031019095,49.7324482051891,"CZE","Czech Republic","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"29442",29442,"Alnus",247518,281,55,NA,NA,4155,NA,"C14 BP","Radiocarbon years BP",14777,24534,NA,15926,"Tourbière de Parcay-sur-Vienne",0.480555555555556,47.0922222222222,39,"Peat bog. Physiography: little basin. Surrounding vegetation: cultivated fields",0,0,"PARCAY1","Core","PARCAY1","pollen",9909,"Cyprien, Anne-Laure","2018-01-23","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"29575",29575,"Alnus",254092,27,20,NA,NA,NA,NA,"No chronology",NA,NA,24917,NA,16129,"Lac de Chalain",5.79138888888889,46.6702777777778,487,"Lake. Physiography: plateau. Surrounding vegetation: cultivated fields and forest.",0,0,"CHAL349","Core","CHAL349","pollen",9767,"Richard, Hervé","2018-02-22","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"29760",29760,"Alnus",257964,9,5,NA,NA,9,NA,"C14 BP","Radiocarbon years BP",15179,25127,NA,16233,"Etang paysan",-1.86722222222222,49.6961111111111,41,"Pond. Physiography: pond peasant. Surrounding vegetation: cultivated fields.",0,0,"ETPASM67","Core","ETPASM67","pollen",1029,"Clet-Pellerin, Martine","2018-02-28","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"29833",29833,"Alnus",258723,4,25,NA,NA,NA,NA,"No chronology",NA,NA,25194,NA,16260,"Le Teppier",6.81833333333333,45.6805555555556,2140,"Peat bog. Physiography: karstic funnel. Surrounding vegetation: grass.",0,0,"TEPPIER","Core","TEPPIER","pollen",8761,"Miras, Yannick","2018-03-02","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"29919",29919,"Alnus",20472,120,25,5,NA,388,NA,"NAPD 1","Calibrated radiocarbon years BP",467,987,NA,957,"Grey Islands",-55.516667,50.768889,104,"Stream fed lake w/in exposed bedrock. Physiography: Appalachain Phys Reg, uplands. Surrounding vegetation: dwarf shrub barrens, some black spruce.",0,0,NA,"Core","GREYIS","pollen",936,"Cullen, Nicola S.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CAN",1,2,"Adm-0 country",106,"Canada","CAN",0,2,"Sovereign country","Canada","CAN",0,"Canada","CAN",0,"Canada","CAN","Canada","Can.","CA",NA,NA,"Canada",2,33487208,1300000,0,"CA","CAN",124,"CAN",-102.355901829177,57.9392328262499,"CAN","Canada","North America","North America","North America","Canada","Canada","Canada","North America","OECD90","North America (NAM)","North America, High Income",9,"Canada","other","other","other"
"29931",29931,"Alnus",395994,22,240,NA,5720,4629,3411,"Giesecke et al. 2014 (MADCAP)","Radiocarbon years BP",29895,4000,NA,3069,"Loch Craggie",-4.83956,58.00751,154,"Small loch. Surrounding vegetation: moorland.",0,0,"EPD E# 185","Core","CRAGGIE","pollen",1196,"Pennington, Winifred","2019-08-21","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","GBR",1,7,"Adm-0 country",28,"United Kingdom","GB1",0,2,"Country","United Kingdom","GBR",0,"United Kingdom","GBR",0,"United Kingdom","GBR","United Kingdom","U.K.","GB","United Kingdom of Great Britain and Northern Ireland",NA,"United Kingdom",3,61113205,2226000,0,"GB","GBR",826,"GBR",-2.51805776256644,53.9473410569663,"GBR","United Kingdom","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"29939",29939,"Alnus",130786,25,105,NA,2639,2145,1681,"EPD1","Calibrated radiocarbon years BP",7705,14527,NA,9819,"Lough Corslieve",-9.639,54.05008,320,"This lake lies in the southern most corrie basin below Corslieve Mountain. The basin is developed on pre-Cambrian quartzites.",0.00360000000000049,0.0018400000000014,"Lough Corslieve","Core","LOUGHCOR","pollen",6686,"Browne, Phillip R.","2014-09-03","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","IRL",1,2,"Adm-0 country",151,"Ireland","IRL",0,2,"Sovereign country","Ireland","IRL",0,"Ireland","IRL",0,"Ireland","IRL","Ireland","Ire.","IRL",NA,NA,"Ireland",2,4203200,188400,0,"IE","IRL",372,"IRL",-8.13763988410812,53.1763487137152,"IRL","Ireland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"29970",29970,"Alnus",378902,11,300,NA,NA,NA,NA,"No chronology",NA,NA,3992,NA,3062,"Plan du Clou",6.539167,45.699722,1700,"Peat. Physigraphy: little depression in moraine ridge. Surrounding vegetation: forest.",0,0,"EPD E# 177","Core","CLOU1","pollen",1035,"David, Fernand","2019-06-21","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"29980",29980,"Alnus",27328,23,260,NA,NA,8700,NA,"PALE","Radiocarbon years BP",642,1563,NA,1525,"Bol'shaya Kuropatoch'ya River (KURPEAT)",156.375,69.966667,47,"Exposed buried peat in alas sediments. Physiography: yedoma-alas relief. Surrounding vegetation: Betula-Salix-graminoid tundra.",0,0,NA,"Section","KURPEAT","pollen",306,"Lozhkin, Anatoly V.","2007-06-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","RUS",1,2,"Adm-0 country",214,"Russia","RUS",0,2,"Sovereign country","Russia","RUS",0,"Russia","RUS",0,"Russia","RUS","Russia","Rus.","RUS","Russian Federation",NA,"Russia",7,140041247,2266000,0,"RU","RUS",643,"RUS",99.0658127547977,61.6613564597895,"RUS","Russia","Europe","Eurasia","Europe","Eastern Europe","Russia+","Russia","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern",3,"Russia","other","other","other"
"30040",30040,"Alnus",189661,2,608,NA,11401,11124,10902,"Neotoma 1","Calibrated radiocarbon years BP",11863,20515,NA,13583,"Lake Grinnell",-74.63963,41.098185,170,"Lake Grinnell is the headwater lake of a tributary of Wallkill River, which flows northeastward to the Hudson River. Surrounding vegetation: Appalachian Forest, mainly oak (Quercus)-dominated hardwood. forests, with high abundances of walnut (Juglans), maple (Acer), ash (Fraxinus), and hickory (Carya)",0.00973999999999364,0.00912999999999897,NA,"Core","GRINNELL","pollen",6699,"Zhao, Yan","2016-09-16","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"30104",30104,"Alnus",396290,65,2612,NA,NA,1320,NA,"Almquist-Jacobson 1994","Radiocarbon years BP",29938,4200,NA,3234,"Lilla Gloppsjön",14.6233333333333,59.8016666666667,198,"Lake with rocky shore. Physiography: Rolling till covered bedrock topography. Surrounding vegetation: Mixed Picea-Betula-Pinus forest.
Catchment covers about 650 ha.",0,0,"EPD E# 382","Core","LGLOPPSJ","pollen",15791,"Almquist-Jacobson, Heather","2019-08-23","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","SWE",1,2,"Adm-0 country",239,"Sweden","SWE",0,2,"Sovereign country","Sweden","SWE",0,"Sweden","SWE",0,"Sweden","SWE","Sweden","Swe.","S","Kingdom of Sweden",NA,"Sweden",4,9059651,344300,0,"SE","SWE",752,"SWE",16.7423590647659,62.842591553232,"SWE","Sweden","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"30152",30152,"Alnus",403246,52,150,NA,NA,1495,NA,"EPD default","Radiocarbon years BP",30084,3988,NA,3058,"Loch a'Chroisg",-5.142625,57.57486,155,NA,0.0905500000000004,0.00961999999999819,"EPD E# 173","Core","CHROISGP","pollen",1196,"Pennington, Winifred","2019-09-06","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","GBR",1,7,"Adm-0 country",28,"United Kingdom","GB1",0,2,"Country","United Kingdom","GBR",0,"United Kingdom","GBR",0,"United Kingdom","GBR","United Kingdom","U.K.","GB","United Kingdom of Great Britain and Northern Ireland",NA,"United Kingdom",3,61113205,2226000,0,"GB","GBR",826,"GBR",-2.51805776256644,53.9473410569663,"GBR","United Kingdom","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
